mass	pressure	temperature	radius	density	specificenergy	dm	h1	he3	he4	c12	n14	o16	ne20	mg24
1.9881904126667672e+33	142446702513.56015	387699.86993778765	62543430010.18809	0.0027141092781413816	213755521791.84836	9.139613114437908e+27	6.854709835828431e+27	0	2.284903278609477e+27	0	0	0	0	0
1.9881812730536528e+33	148833003203.78894	391974.0954274474	62473860010.288956	0.0028048682302480926	223338804607.60568	9.425606694607716e+27	7.069205020955788e+27	0	2.356401673651929e+27	0	0	0	0	0
1.9881718474469582e+33	155446593102.28387	396257.8303404993	62404290010.38983	0.0028978368820158674	233263157609.28717	9.717730399306289e+27	7.288297799479717e+27	0	2.4294325998265722e+27	0	0	0	0	0
1.9881621297165588e+33	162293646884.34976	400551.1058560079	62334720010.49071	0.002993051357999959	243537846514.65524	1.0016058790523305e+28	7.512044092892479e+27	0	2.5040146976308264e+27	0	0	0	0	0
1.9881521136577684e+33	169380463339.88913	404853.9532773987	62265150010.59158	0.003090548169260349	254172323287.83762	1.0320666756607618e+28	7.740500067455713e+27	0	2.5801666891519045e+27	0	0	0	0	0
1.9881417929910117e+33	176713467288.94507	409166.4040329423	62195580010.69245	0.0031903642172591397	265176229013.79095	1.063162951387888e+28	7.97372213540916e+27	0	2.65790737846972e+27	0	0	0	0	0
1.988131161361498e+33	184299211524.38217	413488.48967623827	62126010010.79332	0.003292536797797435	276559396813.48785	1.0949022608239022e+28	8.211766956179266e+27	0	2.7372556520597554e+27	0	0	0	0	0
1.9881202123388897e+33	192144378782.0791	417820.2418866991	62056440010.89419	0.0033971036049920966	288331854800.3879	1.1272921916781917e+28	8.454691437586438e+27	0	2.818230479195479e+27	0	0	0	0	0
1.9881089394169728e+33	200255783739.02493	422161.6924700403	61986870010.99506	0.003504102735292944	300503829078.7808	1.1603403649429667e+28	8.70255273707225e+27	0	2.9008509123574167e+27	0	0	0	0	0
1.9880973360133233e+33	208640375039.68726	426512.87335876725	61917300011.09594	0.003613572691540575	313085746784.5547	1.1940544350546535e+28	8.955408262909901e+27	0	2.985136087636634e+27	0	0	0	0	0
1.9880853954689727e+33	217305237351.0536	430873.81661266525	61847730011.196815	0.0037255523870653854	326088239168.991	1.2284420900579017e+28	9.213315675434263e+27	0	3.0711052251447544e+27	0	0	0	0	0
1.988073111048072e+33	226257593446.74448	435244.5544192932	61778160011.297676	0.003840081149828219	339522144726.18475	1.2635110517694803e+28	9.476332888271102e+27	0	3.158777629423701e+27	0	0	0	0	0
1.9880604759375545e+33	235504806320.58377	439625.11909447395	61708590011.39855	0.003957198726602891	353398512364.66797	1.2992690759418635e+28	9.744518069563976e+27	0	3.248172689854659e+27	0	0	0	0	0
1.988047483246795e+33	245054381330.05826	444015.5430827931	61639020011.49943	0.004076945287201325	367728604623.8854	1.3357239524297838e+28	1.0017929643223378e+28	0	3.3393098810744595e+27	0	0	0	0	0
1.9880341260072708e+33	254913968370.05072	448415.8589580927	61569450011.6003	0.004199361428741376	382523900936.0981	1.372883505354094e+28	1.0296626290155706e+28	0	3.432208763385235e+27	0	0	0	0	0
1.9880203971722174e+33	265091364077.28662	452826.09942397085	61499880011.70118	0.0043244881799580775	397796100934.3763	1.4107555932685276e+28	1.0580666949513958e+28	0	3.526888983171319e+27	0	0	0	0	0
1.9880062896162847e+33	275594514065.90674	457246.2973142814	61430310011.80204	0.004452367005558583	413557127807.2996	1.4493481093262584e+28	1.0870110819946937e+28	0	3.623370273315646e+27	0	0	0	0	0
1.9879917961351915e+33	286431515194.5928	461676.4855936329	61360740011.902916	0.004583039810621245	429819131701.0059	1.4886689814459575e+28	1.1165017360844682e+28	0	3.721672453614894e+27	0	0	0	0	0
1.9879769094453772e+33	297610617865.70013	466116.6973578951	61291170012.003784	0.004716548945039503	446594493169.2696	1.5287261724812083e+28	1.1465446293609063e+28	0	3.821815431203021e+27	0	0	0	0	0
1.9879616221836523e+33	309140228356.81244	470566.96583470097	61221600012.10466	0.004852937208010701	463895826672.2327	1.5695276803866497e+28	1.1771457602899872e+28	0	3.923819200966624e+27	0	0	0	0	0
1.9879459269068485e+33	321028911185.18353	475027.3243839533	61152030012.205536	0.0049922478525705385	481735984124.4864	1.611081538387438e+28	1.2083111537905785e+28	0	4.027703845968595e+27	0	0	0	0	0
1.9879298160914647e+33	333285391505.51666	479497.80649833224	61082460012.306404	0.00513452459017355	500128058493.1783	1.6533958151483076e+28	1.2400468613612307e+28	0	4.133489537870769e+27	0	0	0	0	0
1.9879132821333133e+33	345918557541.5321	483978.44580380287	61012890012.40728	0.005279811595320014	519085387446.82306	1.6964786149419852e+28	1.272358961206489e+28	0	4.241196537354963e+27	0	0	0	0	0
1.9878963173471638e+33	358937463051.8109	488469.2760601289	60943320012.508156	0.005428153510229983	538621557055.5474	1.7403380778213334e+28	1.305253558366e+28	0	4.3508451945533335e+27	0	0	0	0	0
1.9878789139663855e+33	372351329830.3565	492970.33116138197	60873750012.60902	0.005579595449564589	558750405543.433	1.7849823797876433e+28	1.3387367848407325e+28	0	4.4624559494691083e+27	0	0	0	0	0
1.9878610641425877e+33	386169550242.3773	497481.64513645676	60804180012.70989	0.005734183005195378	579486027093.7114	1.8304197329626818e+28	1.3728147997220112e+28	0	4.5760493324067044e+27	0	0	0	0	0
1.9878427599452582e+33	400401689795.7678	502003.252149586	60734610012.81076	0.005891962251022069	600842775707.5292	1.876658385760067e+28	1.4074937893200503e+28	0	4.6916459644001674e+27	0	0	0	0	0
1.9878239933614007e+33	415057489748.7724	506535.18650085555	60665040012.91164	0.006052979747839146	622835269117.0078	1.9237066230559241e+28	1.4427799672919432e+28	0	4.8092665576398103e+27	0	0	0	0	0
1.9878047562951702e+33	430146869754.3519	511077.4826267259	60595470013.01251	0.006217282548252032	645478392753.3805	1.971572766363613e+28	1.4786795747727098e+28	0	4.9289319159090327e+27	0	0	0	0	0
1.9877850405675066e+33	445679930541.7308	515630.17510054953	60525900013.11339	0.006384918201643018	668787303770.9211	2.020265174004031e+28	1.5151988805030234e+28	0	5.050662935010078e+27	0	0	0	0	0
1.9877648379157665e+33	461666956635.6576	520193.298633093	60456330013.214264	0.006555934759187712	692777435127.4678	2.0697922412800313e+28	1.5523441809600236e+28	0	5.174480603200078e+27	0	0	0	0	0
1.9877441399933537e+33	478118419113.89404	524766.8880730604	60386760013.31512	0.006730380778922434	717464499722.3094	2.1201624006500346e+28	1.5901218004875258e+28	0	5.300406001625086e+27	0	0	0	0	0
1.987722938369347e+33	495044978403.44507	529350.9784076152	60317190013.41599	0.006908305330862969	742864494592.2097	2.1713841219006965e+28	1.6285380914255224e+28	0	5.428460304751741e+27	0	0	0	0	0
1.9877012245281282e+33	512457487116.0976	533945.6047629103	60247620013.51687	0.007089758002175543	768993705166.416	2.2234659123240983e+28	1.6675994342430737e+28	0	5.558664780810246e+27	0	0	0	0	0
1.987678989869005e+33	530366992923.76575	538550.802404612	60178050013.617744	0.007274788902400081	795868709581.4028	2.2764163168898673e+28	1.7073122376674005e+28	0	5.691040792224668e+27	0	0	0	0	0
1.987656225705836e+33	548784741474.22394	543166.6067384304	60108480013.71862	0.007463448668726656	823506383056.2205	2.3302439184217807e+28	1.7476829388163357e+28	0	5.825609796054452e+27	0	0	0	0	0
1.9876329232666518e+33	567722179347.7715	547793.0533106505	60038910013.81949	0.00765578847132553	851923902329.2659	2.384957337773477e+28	1.7887180033301077e+28	0	5.962393344433692e+27	0	0	0	0	0
