mass	pressure	temperature	radius	density	specificenergy	dm
6.701560143408717e+32	2.761612270505112e+16	8135293.601569346	15931530077.772432	25.0761037064523	1652599391688456.0	5.565441768890973e+30
6.645905725719808e+32	2.7922591869465076e+16	8157770.576944125	15861960077.873304	25.284526546190055	1657165352998591.0	5.562957750739666e+30
6.590276148212411e+32	2.823170803949897e+16	8180255.033771264	15792390077.974176	25.494171033422894	1661732834087142.0	5.560150837457278e+30
6.534674639837838e+32	2.854347888876933e+16	8202746.330841827	15722820078.07505	25.70503546848258	1666301704699251.5	5.55701891130814e+30
6.479104450724757e+32	2.885791177120414e+16	8225243.820335867	15653250078.17592	25.917117963484024	1670871833237107.8	5.553559888723243e+30
6.423568851837525e+32	2.9175013712970076e+16	8247746.847811661	15583680078.276794	26.130416439512846	1675443086757751.2	5.549771721341529e+30
6.3680711346241094e+32	2.949479140433297e+16	8270254.752195882	15514110078.377665	26.344928623811356	1680015330971085.2	5.545652397062615e+30
6.312614610653483e+32	2.9817251191451868e+16	8292766.865774644	15444540078.478539	26.560652046963124	1684588430238050.2	5.541199941104164e+30
6.257202611242441e+32	3.014239906810988e+16	8315282.514185513	15374970078.57941	26.777584040077745	1689162247569006.5	5.53641241706738e+30
6.2018384870717674e+32	3.0470240667382996e+16	8337801.016410443	15305400078.680283	26.99572173197643	1693736644622294.5	5.531287928010377e+30
6.1465256077916634e+32	3.0800781253249484e+16	8360321.6847696835	15235830078.781155	27.215062046379664	1698311481703001.5	5.525824617525274e+30
6.091267361616411e+32	3.1134025712141856e+16	8382843.824916676	15166260078.882027	27.4356016990979	1702886617761922.0	5.520020670825423e+30
6.0360671549081565e+32	3.1469978544443884e+16	8405366.73583395	15096690078.982899	27.6573371952265	1707461910394723.8	5.513874315835691e+30
5.9809284117497995e+32	3.1808643855934736e+16	8427889.709830025	15027120079.083773	27.880264826345734	1712037215841321.0	5.507383824289488e+30
5.925854573506905e+32	3.2150025349183172e+16	8450412.032537365	14957550079.184643	28.104380667727423	1716612388985457.0	5.500547512831855e+30
5.870849098378586e+32	3.2494126314893896e+16	8472932.982911369	14887980079.285517	28.329680575548924	1721187283354499.5	5.493363744124905e+30
5.815915460937337e+32	3.2840949623209296e+16	8495451.833230449	14818410079.386387	28.556160184116095	1725761751119455.5	5.485830927961417e+30
5.761057151657723e+32	3.3190497714968636e+16	8517967.84909718	14748840079.487259	28.783814903095934	1730335643095208.0	5.477947522380031e+30
5.706277676433923e+32	3.3542772592928332e+16	8540480.289440574	14679270079.58813	29.01263991476067	1734908808740973.5	5.469712034785311e+30
5.651580556086069e+32	3.3897775812945412e+16	8562988.406519443	14609700079.689005	29.242630171243967	1739481096160989.8	5.461123023070925e+30
5.59696932585536e+32	3.4255508475128292e+16	8585491.445926955	14540130079.789877	29.47378039181125	1744052352105437.0	5.452179096746974e+30
5.54244753488789e+32	3.4615971214956868e+16	8607988.646596296	14470560079.890749	29.70608506014468	1748622421971590.8	5.44287891806729e+30
5.488018745707217e+32	3.4979164194375936e+16	8630479.240807533	14400990079.99162	29.9395384216446	1753191149805215.5	5.433221203162497e+30
5.433686533675592e+32	3.534508709286506e+16	8652962.45419567	14331420080.092493	30.174134480748656	1757758378302201.8	5.423204723172213e+30
5.37945448644387e+32	3.5713739098488428e+16	8675437.50575991	14261850080.193365	30.409866998270054	1762323948810445.5	5.41282830537943e+30
5.3253262033900755e+32	3.608511889892795e+16	8697903.607874136	14192280080.294239	30.64672948875611	1766887701331979.8	5.40209083434677e+30
5.271305295046608e+32	3.645922467250353e+16	8720359.96629865	14122710080.39511	30.8847152178687	1771449474525356.8	5.390991253050387e+30
5.217395382516104e+32	3.683605407918429e+16	8742805.780193169	14053140080.495981	31.123817199788093	1776009105708290.0	5.379528564017395e+30
5.16360009687593e+32	3.721560425159443e+16	8765240.242131097	13983570080.596853	31.364028194641516	1780566430860553.0	5.367701830460103e+30
5.109923078571329e+32	3.7597871786017416e+16	8787662.538115086	13914000080.697725	31.60534070595774	1785121284627140.2	5.355510177410255e+30
5.0563679767972264e+32	3.798285273340331e+16	8810071.84759393	13844430080.798597	31.847746978149747	1789673500321697.0	5.3429527928513e+30
5.002938448868713e+32	3.837054259038272e+16	8832467.343480764	13774860080.899471	32.09123899402644	1794222909930221.2	5.330028928849749e+30
4.949638159580216e+32	3.876093629029156e+16	8854848.192172628	13705290081.000341	32.3358084723351	1798769344115032.2	5.316737902681171e+30
4.896470780553404e+32	3.915402819421181e+16	8877213.55357139	13635720081.101215	32.58144686533652	1803312632219023.2	5.303079097956657e+30
4.8434399895738374e+32	3.954981208203137e+16	8899562.581106024	13566150081.202085	32.82814535641355	1807852602270189.2	5.289051965742793e+30
4.79054946991641e+32	3.994828114352888e+16	8921894.42175632	13496580081.30296	33.0758948577157	1812389080986438.5	5.274656025678401e+30
4.7378029096596256e+32	4.034942796948776e+16	8944208.216077989	13427010081.403831	33.324686007840846	1816921893780698.5	5.259890867087219e+30
4.685204000988753e+32	4.0753244542843016e+16	8966503.098229175	13357440081.504704	33.5745091695552	1821450864766295.2	5.244756150082576e+30
4.632756439487927e+32	4.115972222986791e+16	8988778.195998454	13287870081.605576	33.825354427554515	1825975816762644.5	5.229251606669536e+30
4.580463923421232e+32	4.1568851771403384e+16	9011032.63083424	13218300081.706446	34.07721158626686	1830496571301226.5	5.213377041837789e+30
4.528330153002854e+32	4.1980623274136344e+16	9033265.51787571	13148730081.80732	34.33007016769946	1835012948631864.2	5.197132334648229e+30
4.476358829656372e+32	4.239502620193169e+16	9055475.965985194	13079160081.908194	34.58391940933102	1839524767729306.8	5.18051743931249e+30
4.424553655263247e+32	4.2812049367223144e+16	9077663.077782061	13009590082.009064	34.83874826205122	1844031846300109.5	5.163532386261535e+30
4.372918331400632e+32	4.323168092246846e+16	9099825.949678155	12940020082.109934	35.094545388149314	1848534000789837.0	5.146177283208376e+30
4.321456558568548e+32	4.365390835167426e+16	9121963.671914738	12870450082.210808	35.35129915935338	1853031046390561.8	5.128452316198682e+30
4.2701720354065614e+32	4.407871846199577e+16	9144075.328600973	12800880082.31168	35.60899765492198	1857522797048687.8	5.11035775065165e+30
4.2190684579000446e+32	4.450609737541782e+16	9166159.997754015	12731310082.412554	35.86762865979033	1862009065473089.5	5.091893932390762e+30
4.168149518576137e+32	4.493603052052167e+16	9188216.751340615	12661740082.513424	36.12717966277222	1866489663143566.2	5.073061288660152e+30
4.1174189056895356e+32	4.536850262434431e+16	9210244.655320361	12592170082.614296	36.38763785482003	1870964400319625.8	5.053860329132023e+30
4.066880302398215e+32	4.580349770433557e+16	9232242.769690499	12522600082.715168	36.64899012734417	1875433086049587.8	5.0342916468983473e+30
4.0165373859292316e+32	4.624099906041934e+16	9254210.148532378	12453030082.81604	36.911223070594225	1879895528180019.8	5.014355919449731e+30
3.966393826734734e+32	4.668098926716416e+16	9276145.840059495	12383460082.916916	37.17432297210299	1884351533365498.0	4.994053909639554e+30
3.9164532876383385e+32	4.71234501660706e+16	9298048.886667239	12313890083.017786	37.43827581519622	1888800907078709.8	4.973386466633776e+30
3.8667194229720005e+32	4.7568362857980056e+16	9319918.324984225	12244320083.118656	37.7030672775688	1893243453620883.2	4.952354526842362e+30
3.8171958777035766e+32	4.801570769561195e+16	9341753.185925325	12174750083.21953	37.96868272992984	1897678976132560.8	4.9309591148373676e+30
3.767886286555203e+32	4.846546427623564e+16	9363552.494746355	12105180083.3204	38.23510723471848	1902107276604704.2	4.9092013442511456e+30
3.718794273112691e+32	4.891761143448342e+16	9385315.271100469	12035610083.421274	38.50232554489218	1906528155890158.2	4.8870824186572735e+30
3.6699234489261186e+32	4.937212723531057e+16	9407040.529096233	11966040083.522146	38.77032210278928	1910941413715438.0	4.864603632433478e+30
3.621277412601784e+32	4.982898896710947e+16	9428727.277357409	11896470083.623018	39.03908103906778	1915346848692881.0	4.841766371602535e+30
3.5728597488857584e+32	5.028817313498375e+16	9450374.519084452	11826900083.72389	39.308586171722	1919744258333136.0	4.818572114656002e+30
3.524674027739198e+32	5.074965545418969e+16	9471981.25211774	11757330083.824762	39.57882100517933	1924133439058008.5	4.7950224333545874e+30
3.4767238034056525e+32	5.121341084375103e+16	9493546.469002524	11687760083.925632	39.84976872947861	1928514186213655.0	4.7711189935075046e+30
3.429012613470578e+32	5.167941342025391e+16	9515069.157055639	11618190084.026508	40.12141221953196	1932886294084133.8	4.746863555729125e+30
3.381543977913287e+32	5.214763649182886e+16	9536548.298433946	11548620084.127378	40.393734034472175	1937249555905309.2	4.722257976172999e+30
3.334321398151557e+32	5.261805255232651e+16	9557982.870204546	11479050084.228252	40.66671641708725	1941603763879113.8	4.6973042072396777e+30
3.2873483560791604e+32	5.309063327569352e+16	9579371.844416749	11409480084.329123	40.94034129334391	1945948709188169.5	4.672004298262614e+30
3.240628313096534e+32	5.356534951055616e+16	9600714.188175824	11339910084.429995	41.214590272002134	1950284182010766.2	4.6463603961662784e+30
3.194164709134871e+32	5.404217127501778e+16	9622008.863718517	11270340084.530869	41.48944464432219	1954609971536207.8	4.6203747460985303e+30
3.1479609616738858e+32	5.452106775167732e+16	9643254.828490367	11200770084.63174	41.76488538386624	1958925865980511.5	4.594049692036783e+30
3.102020464753518e+32	5.5002007282875544e+16	9664451.035224775	11131200084.73261	42.04089314639597	1963231652602475.5	4.5673876773638537e+30
3.0563465879798794e+32	5.548495736617641e+16	9685596.432023918	11061630084.833485	42.31744826986849	1967527117720112.0	4.5403912454183353e+30
3.010942675525696e+32	5.596988465008971e+16	9706689.962441424	10992060084.934355	42.59453077453176	1971812046727444.8	4.5130630400132394e+30
2.9658120451255635e+32	5.645675493004223e+16	9727730.565566836	10922490085.03523	42.872120363121404	1976086224111664.2	4.485405805925187e+30
2.920957987066312e+32	5.6945533144604936e+16	9748717.17611193	10852920085.1361	43.15019642116104	1980349433470664.2	4.4574223893535744e+30
2.8763837631727762e+32	5.743618337198147e+16	9769648.724498779	10783350085.236973	43.428738017366946	1984601457530931.0	4.4291157383458056e+30
2.8320926057893182e+32	5.7928668826766824e+16	9790524.136949668	10713780085.337845	43.707723904159714	1988842078165806.2	4.400488903193036e+30
2.788087716757388e+32	5.8422951856981416e+16	9811342.33557879	10644210085.438717	43.98713251828378	1993071076414118.0	4.371545036790711e+30
2.7443722663894808e+32	5.891899394138817e+16	9832102.238485768	10574640085.53959	44.26694198153676	1997288232499175.0	4.342287394965867e+30
2.7009493924398223e+32	5.941675568709956e+16	9852802.759850983	10505070085.640463	44.54713010161034	2001493325848133.8	4.312719336770639e+30
2.657822199072116e+32	5.9916196827480376e+16	9873442.810032684	10435500085.741333	44.827674373043735	2005686135111726.0	4.282844324738325e+30
2.6149937558247327e+32	6.041727622035442e+16	9894021.295665963	10365930085.842207	45.108551978292006	2009866438184360.5	4.25266592510623e+30
2.5724670965736706e+32	6.091995184652006e+16	9914537.119763454	10296360085.943077	45.38973978890987	2014034012224584.2	4.2221878079997796e+30
2.530245218493673e+32	6.142418080858315e+16	9934989.181817919	10226790086.043947	45.67121436685341	2018188633675918.8	4.191413747579956e+30
2.4883310810178734e+32	6.1929919330111896e+16	9955376.377906559	10157220086.144823	45.95295196590018	2022330078288050.0	4.1603476221524536e+30
2.446727604796349e+32	6.2437122755121736e+16	9975697.600797173	10087650086.245695	46.23492853318983	2026458121138391.8	4.128993414238843e+30
2.4054376706539605e+32	6.29457455478959e+16	9995951.740056071	10018080086.346567	46.51711971088621	2030572536654013.0	4.097355210606254e+30
2.364464118547898e+32	6.3455741293147784e+16	10016137.682157798	9948510086.44744	46.799500837962356	2034673098633919.2	4.0654372022600026e+30
2.323809746525298e+32	6.396706269653188e+16	10036254.310596611	9878940086.548313	47.08204695210964	2038759580271704.5	4.0332436843925075e+30
2.283477309681373e+32	6.447966158550923e+16	10056300.505999753	9809370086.649185	47.36473279177244	2042831754178557.8	4.000779056293324e+30
2.2434695191184397e+32	6.499348891057315e+16	10076275.146242475	9739800086.750057	47.64753279830919	2046889392406630.0	3.9680478212150554e+30
2.203789040906289e+32	6.550849474684144e+16	10096177.10656481	9670230086.85093	47.9304211182813	2050932266472754.5	3.9350545861988136e+30
2.164438495044301e+32	6.6024628296020936e+16	10116005.259690113	9600660086.951801	48.21337160587082	2054960147382530.5	3.901804061854511e+30
2.1254204544257557e+32	6.654183788874975e+16	10135758.47594532	9531090087.052673	48.49635782542792	2058972805654747.2	3.8683010620990785e+30
2.0867374438047648e+32	6.706007098732296e+16	10155435.623382937	9461520087.153543	48.77935305414917	2062970011346167.8	3.8345505038497326e+30
2.0483919387662675e+32	6.757927418880735e+16	10175035.567904752	9391950087.254416	49.06233028488766	2066951534076659.8	3.800557406671889e+30
2.0103863646995487e+32	6.809939322855015e+16	10194557.173387237	9322380087.35529	49.34526222909567	2070917143054670.8	3.7663268923829723e+30
1.972723095775719e+32	6.862037298408711e+16	10213999.301808666	9252810087.456161	49.62812131990088	2074866607103047.0	3.7318641846097256e+30
1.9354044539296217e+32	6.9142157479454584e+16	10233360.813377876	9183240087.557032	49.910879715316604	2078799694685193.0	3.697174608298766e+30
1.898432707846634e+32	6.966468988991061e+16	10252640.5666647	9113670087.657906	50.19350930158702	2082716173931567.2	3.662263589181453e+30
1.8618100719548195e+32	7.018791254707024e+16	10271837.418732084	9044100087.758778	50.47598169666815	2086615812666520.0	3.6271366531910703e+30
1.8255387054229087e+32	7.0711766944457704e+16	10290950.22526977	8974530087.85965	50.75826825384439	2090498378435449.0	3.5917994258317225e+30
1.7896207111645915e+32	7.123619374348223e+16	10309977.840729656	8904960087.960522	51.040340065482376	2094363638532296.8	3.5562576315008103e+30
1.7540581348495834e+32	7.176113277983926e+16	10328919.118462704	8835390088.061394	51.322167966921334	2098211360027363.2	3.5205170927613415e+30
1.71885296392197e+32	7.228652307034237e+16	10347772.910857463	8765820088.162266	51.60372254050115	2102041309795444.8	3.4845837295669655e+30
1.6840071266263006e+32	7.28123028201889e+16	10366538.069480138	8696250088.263138	51.88497411972815	2105853254544283.8	3.4484635584374136e+30
1.6495224910419266e+32	7.333840943066293e+16	10385213.445216179	8626680088.364012	52.16589279357873	2109646960843338.5	3.412162691584064e+30
1.615400864126086e+32	7.386477950727854e+16	10403797.88841342	8557110088.464883	52.44644841094114	2113422195152854.8	3.3756873359872265e+30
1.5816439907662138e+32	7.439134886836715e+16	10422290.249026706	8487540088.565755	52.72661058519574	2117178723853245.2	3.3390437924220186e+30
1.5482535528419936e+32	7.491805255411024e+16	10440689.37676397	8417970088.666628	53.006348698933046	2120916313274767.0	3.30223845443547e+30
1.515231168297639e+32	7.544482483602152e+16	10458994.121233797	8348400088.7675	53.28563190881027	2124634729727495.2	3.2652778072728365e+30
1.4825783902249107e+32	7.597159922687952e+16	10477203.332094386	8278830088.868371	53.564429150545664	2128333739531583.2	3.228168426753014e+30
1.4502967059573806e+32	7.649830849111373e+16	10495315.859203946	8209260088.969244	53.84270914405097	2132013109047813.5	3.190916978094371e+30
1.4183875361764369e+32	7.702488465564454e+16	10513330.55277242	8139690089.070116	54.120440398700794	2135672604708421.2	3.153530214689447e+30
1.3868522340295424e+32	7.755125902118003e+16	10531246.2635146	8070120089.170988	54.397591218739564	2139311993048195.5	3.116014976828362e+30
1.3556920842612587e+32	7.807736217396997e+16	10549061.842804559	8000550089.271861	54.674129708825006	2142931040735852.0	3.078378190372548e+30
1.3249083023575333e+32	7.860312399801733e+16	10566776.142831346	7930980089.372731	54.95002377970743	2146529514605659.0	3.040626865377023e+30
1.2945020337037631e+32	7.91284736877497e+16	10584388.016755994	7861410089.473605	55.225241154044845	2150107181689333.8	3.002768094661578e+30
1.2644743527571473e+32	7.965333976114856e+16	10601896.31886971	7791840089.574477	55.499749372352355	2153663809248178.0	2.964809052332389e+30
1.2348262622338235e+32	8.017765007333861e+16	10619299.90475331	7722270089.675348	55.77351579908574	2157199164805460.5	2.9267569922515147e+30
1.2055586923113083e+32	8.070133183063552e+16	10636597.631437808	7652700089.77622	56.046507628858	2160713016179045.2	2.8886192464571567e+30
1.1766724998467368e+32	8.12243116050516e+16	10653788.35756614	7583130089.877092	56.31869189278758	2164205131514242.0	2.8504032235330093e+30
1.1481684676114067e+32	8.174651534925946e+16	10670870.943556026	7513560089.977966	56.59003546497804	2167675279316886.0	2.812116406927021e+30
1.1200473035421365e+32	8.226786841201064e+16	10687844.251763837	7443990090.078837	56.860505069126845	2171123228486632.0	2.7737663532213027e+30
1.0923096400099235e+32	8.278829555400989e+16	10704707.146649597	7374420090.1797085	57.130067285263266	2174548748350467.8	2.7353606903509794e+30
1.0649560331064137e+32	8.330772096424098e+16	10721458.494942896	7304850090.280581	57.39868855661293	2177951608696421.0	2.6969071157748056e+30
1.0379869619486656e+32	8.382606827674317e+16	10738097.165809825	7235280090.3814535	57.66633519658822	2181331579807468.2	2.6584133945961883e+30
1.0114028280027038e+32	8.434326058783574e+16	10754622.031020818	7165710090.482326	57.932973395902955	2184688432495630.8	2.619887357635105e+30
9.852039544263527e+31	8.48592204737864e+16	10771031.965119382	7096140090.583198	58.19856922980918	2188021938136251.2	2.581336899452495e+30
9.593905854318277e+31	8.53738700089225e+16	10787325.845591702	7026570090.68407	58.46308866545538	2191331868702445.2	2.542769976326382e+30
9.339628856685638e+31	8.588713078417891e+16	10803502.553037025	6957000090.784942	58.72649756936301	2194617996799716.8	2.5041946041801587e+30
9.089209396267622e+31	8.639892392608069e+16	10819560.971338855	6887430090.885815	58.988761715020495	2197880095700727.8	2.465618856464771e+30
8.842647510621144e+31	8.690917011615507e+16	10835499.987836843	6817860090.986687	59.249846790592215	2201117939380223.5	2.4270508619941276e+30
8.599942424421731e+31	8.741778961076846e+16	10851318.493499393	6748290091.087559	59.50971840674035	2204331302550092.2	2.388498802734302e+30
8.361092544148301e+31	8.792470226138326e+16	10867015.383096905	6678720091.188431	59.76834210455757	2207519960694556.2	2.3499709115486455e+30
8.126095452993436e+31	8.842982753522926e+16	10882589.555375623	6609150091.289303	60.02568336360819	2210683690105489.8	2.3114754698971676e+30
7.89494790600372e+31	8.893308453638402e+16	10898039.913232053	6539580091.390176	60.28170761007547	2213822267917847.5	2.273020805493079e+30
7.667645825454412e+31	8.943439202725533e+16	10913365.363887878	6470010091.491047	60.53638022501243	2216935472145201.2	2.2346152899158716e+30
7.4441842964628245e+31	8.993366845046078e+16	10928564.819065379	6400440091.59192	60.789666552694	2220023081715369.2	2.1962673361817558e+30
7.224557562844649e+31	9.043083195109534e+16	10943637.195163233	6330870091.692792	61.04153190906714	2223084876506132.5	2.1579853962734783e+30
7.008759023217301e+31	9.092580039938251e+16	10958581.413432749	6261300091.793664	61.29194159029722	2226120637381031.5	2.1197779586284082e+30
6.796781227354461e+31	9.141849141369893e+16	10973396.400154388	6191730091.894536	61.54086088140675	2229130146225227.5	2.0816535455877667e+30
6.588615872795684e+31	9.190882238396574e+16	10988081.086814588	6122160091.995408	61.78825506500413	2232113185981420.2	2.0436207108066122e+30
6.384253801715023e+31	9.239671049539899e+16	11002634.410282837	6052590092.09628	62.03408943009956	2235069540685820.0	2.0056880366256182e+30
6.183684998052461e+31	9.288207275260878e+16	11017055.312988913	5983020092.197153	62.27832928100444	2237998995504151.8	1.9678641314065996e+30
5.986898584911801e+31	9.336482600403965e+16	11031342.743100286	5913450092.298025	62.52093994631146	2240901336767691.0	1.9301576268317686e+30
5.793882822228624e+31	9.38448869667419e+16	11045495.654699579	5843880092.398896	62.761886787952086	2243776352009317.5	1.892577175167956e+30
