mass	pressure	temperature	radius	density	specificenergy	dm
1.9252721267713037e+33	10652954189.025957	202744.96146525015	65670180180.18018	0.00038814194164859547	41185508033875.72	1.425330198445358e+27
1.925270701441105e+33	11483129208.2213	206584.44518834227	65600540540.54054	0.00041061349460244846	41965458798523.695	1.5053620012362963e+27
1.9252691960791038e+33	12362822174.551882	210432.0862534701	65530900900.90091	0.00043398652615697127	42747066641471.016	1.588395876096018e+27
1.9252676076832277e+33	13294146476.733324	214287.91052206457	65461261261.26127	0.00045828260615626284	43530336816195.58	1.6744915667792202e+27
1.925265933191661e+33	14279274039.43567	218151.94395914595	65391621621.62163	0.0004835235439322352	44315274597218.33	1.763709070440004e+27
1.9252641694825905e+33	15320436297.360489	222024.21263374016	65321981981.98199	0.0005097313907167862	45101885280187.94	1.8561086389333045e+27
1.9252623133739515e+33	16419925183.408712	225904.7427192859	65252342342.34235	0.0005369284420782937	45890174181963.34	1.951750780112566e+27
1.9252603616231714e+33	17580094131.140285	229793.5604940519	65182702702.702705	0.0005651372403828049	46680146640698.68	2.0506962591420917e+27
1.9252583109269122e+33	18803359091.719574	233690.69234154743	65113063063.06307	0.0005943805772800556	47471808015926.54	2.1530060998074675e+27
1.9252561579208122e+33	20092199565.55357	237596.16475094427	65043423423.42343	0.0006246814962147058	48265163688643.77	2.2587415858419038e+27
1.9252538991792264e+33	21449159648.820145	241510.00431748768	64973783783.78379	0.000656063294962881	49060219061394.945	2.3679642622461096e+27
1.9252515312149642e+33	22876849095.101448	245432.23774292183	64904144144.14415	0.00068854952819447	49856979558358.72	2.4807359366288146e+27
1.9252490504790275e+33	24377944392.324852	249362.8918359063	64834504504.50451	0.000722164010061263	50655450625432.53	2.597118680540303e+27
1.925246453360347e+33	25955189855.23	253301.9935124411	64764864864.86487	0.0007569308168113291	51455637730318.914	2.7171748308215974e+27
1.925243736185516e+33	27611398733.57372	257249.56979628874	64695225225.22523	0.0007928742894298109	52257546362611.16	2.8409669909542385e+27
1.9252408952185253e+33	29349454336.294643	261205.64781940178	64625585585.585594	0.0008300190363064744	53061182033880.305	2.9685580324199774e+27
1.925237926660493e+33	31172311171.856037	265170.25482234795	64555945945.94595	0.0008683899359302204	53866550277761.336	3.100011096062642e+27
1.925234826649397e+33	33082996104.99461	269143.41815474007	64486306306.30631	0.0009080121396108954	54673656650040.695	3.235389593460179e+27
1.9252315912598036e+33	35084609530.100075	273125.1652756639	64416666666.66667	0.0009489110742286197	55482506728743.03	3.374757208298983e+27
1.9252282165025953e+33	37180326561.45961	277115.52375411126	64347027027.02703	0.0009911124450109774	56293106114219.3	3.5181778977583224e+27
1.9252246983246975e+33	39373398240.600044	281114.5212694146	64277387387.38739	0.001034642238338328	57105460429234.914	3.665715893899703e+27
1.9252210326088035e+33	41667152760.9616	285122.18561167707	64207747747.74776	0.001079526724577452	57919575319057.32	3.8174357050563334e+27
1.9252172151730985e+33	44064996710.153	289138.54468221543	64138108108.108116	0.0011257924609440132	58735456451545.734	3.9734021172435284e+27
1.925213241770981e+33	46570416330.018105	293163.62649399054	64068468468.468475	0.0011734662943938485	59553109517238.74	4.1336801955529055e+27
1.9252091080907855e+33	49186978794.77674	297197.45917205245	63998828828.828835	0.001222575364543692	60372540229444.625	4.2983352855783755e+27
1.9252048097555e+33	51918333507.47637	301240.0709539768	63929189189.18919	0.0012731471066213561	61193754324330.16	4.4674330148243534e+27
1.9252003423224852e+33	54768213415.02036	305291.49019031134	63859549549.54955	0.0013252092544458983	62016757561011.1	4.641039294140142e+27
1.925195701283191e+33	57740436342.01982	309351.7453450155	63789909909.90991	0.0013787898434378767	62841555721641.68	4.8192203191420535e+27
1.925190882062872e+33	60838906343.74101	313420.8649959105	63720270270.27028	0.0014339172136602065	63668154611505.9	5.002042571659943e+27
1.9251858800203002e+33	64067615078.40137	317498.8778351218	63650630630.63064	0.0014906200128897156	64496560059107.48	5.189572821170759e+27
1.9251806904474792e+33	67430643199.0945	321585.81266953173	63580990990.991	0.001548927199719931	65326777916261.78	5.381878126257863e+27
